author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
СОЮЗ;real_estate_agent;https://spb.cian.ru/sale/flat/295288046/;Санкт-Петербург;sale;flat;3;4;-1;18.5;6319248;Центральный; Константина Заслонова;8Б;Лиговский проспект;
Владис Центральный;real_estate_agent;https://spb.cian.ru/sale/flat/298092711/;Санкт-Петербург;sale;flat;15;19;1;23.4;6350000;Московский; Среднерогатская;14к1;Звездная;4YOU
Самолет;developer;https://spb.cian.ru/sale/flat/298009600/;Санкт-Петербург;sale;flat;3;24;1;21.98;6384597;Невский; Славянская;8;Рыбацкое;Живи! в Рыбацком
Самолет;developer;https://spb.cian.ru/sale/flat/299173189/;Санкт-Петербург;sale;flat;10;23;1;24.58;6374815;Невский;Рыбацкое;4;Рыбацкое;Живи в Рыбацком ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286950311/;Санкт-Петербург;sale;flat;5;24;-1;29.58;6359700;Московский;Новоизмайловское;;;YE'S Leader
Satanovskiy Group;real_estate_agent;https://spb.cian.ru/sale/flat/299092493/;Санкт-Петербург;sale;flat;7;14;1;24.8;6399999;Приморский;аллея Арцеуловская;17;Комендантский проспект;Чистое небо
Группа Аквилон;developer;https://spb.cian.ru/sale/flat/264975822/;Санкт-Петербург;sale;flat;1;13;1;29.0;6368864;Приморский;Планерная ;87к1;Комендантский проспект;FoRest Аквилон
Самолет;developer;https://spb.cian.ru/sale/flat/295660109/;Санкт-Петербург;sale;flat;2;17;1;27.03;6453778;Красносельский;Константиновское;;Проспект Ветеранов;Сандэй ЖК
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/298056522/;Санкт-Петербург;sale;flat;22;25;1;26.12;6492520;Приморский;набережная Реки Каменки;15к1;Проспект Просвещения;Friends
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/296045834/;Санкт-Петербург;sale;flat;4;14;-1;31.15;6498228;Красногвардейский;Магнитогорская ;51;Новочеркасская;Ladozhsky AVENIR
VEREN GROUP;developer;https://spb.cian.ru/sale/flat/292425333/;Санкт-Петербург;sale;flat;4;10;1;26.9;6450289;Приморский;Парашютная ;79к1;Комендантский проспект;Veren Next Шуваловский
VEREN GROUP;developer;https://spb.cian.ru/sale/flat/292425319/;Санкт-Петербург;sale;flat;2;10;1;27.8;6402541;Приморский;Парашютная ;79к1;Комендантский проспект;Veren Next Шуваловский
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/297904437/;Санкт-Петербург;sale;flat;2;9;1;27.87;6400192;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/299555720/;Санкт-Петербург;sale;flat;3;18;1;27.03;6487200;Невский; Тельмана;37;Ломоносовская;ИСКРА-Сити
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297667973/;Санкт-Петербург;sale;flat;16;18;1;23.1;6468000;Василеостровский; Вадима Шефнера;4;Василеостровская;Магеллан (Гавань Капитанов)
GloraX;developer;https://spb.cian.ru/sale/flat/297849161/;Санкт-Петербург;sale;flat;11;15;-1;22.07;6479999;Красногвардейский;переулок Уткин;;;Апарт-отель GloraX Заневский
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298050440/;Санкт-Петербург;sale;flat;15;15;1;19.02;6409740;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294539329/;Санкт-Петербург;sale;flat;12;12;1;20.6;6472520;Красногвардейский;Партизанская ;;;ЛСР. Большая Охта
Самолет;developer;https://spb.cian.ru/sale/flat/296759925/;Санкт-Петербург;sale;flat;2;9;1;34.5;6444466;Курортный;;;Проспект Просвещения;Курортный квартал ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296306138/;Санкт-Петербург;sale;flat;11;18;1;23.9;6453000;Василеостровский; Вадима Шефнера;4;Василеостровская;Магеллан (Гавань Капитанов)
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/299561115/;Санкт-Петербург;sale;flat;11;16;1;21.63;6449140;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
Лидер Групп;developer;https://spb.cian.ru/sale/flat/298343518/;Санкт-Петербург;sale;flat;8;24;-1;26.37;6434280;Московский;Новоизмайловское;;;YE'S Leader
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297293999/;Санкт-Петербург;sale;flat;4;13;1;28.4;6413738;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/274433604/;Санкт-Петербург;sale;flat;12;16;1;21.47;6463275;Московский;Кубинская ;82к1;Ленинский проспект;Cube
Первое Агентство Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/293945331/;Санкт-Петербург;sale;flat;7;25;1;25.0;6400000;Выборгский;проспект Просвещения;43;Проспект Просвещения;Байрон
Ленстройтрест;developer;https://spb.cian.ru/sale/flat/298649536/;Санкт-Петербург;sale;flat;5;5;1;36.55;6459900;Колпинский;шоссе Рубежное;14;Рыбацкое;Юттери
;;https://spb.cian.ru/sale/flat/297034999/;Санкт-Петербург;sale;flat;1;17;1;26.9;6464070;Московский;Московское шоссе;13ВГ;Звездная;Звезды Столиц
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296375888/;Санкт-Петербург;sale;flat;3;12;1;24.29;6500137;Московский;Новоизмайловское;;;Титул в Московском
GloraX;developer;https://spb.cian.ru/sale/flat/296634758/;Санкт-Петербург;sale;flat;2;15;-1;22.34;6539999;Красногвардейский;Малая Охта;;;Глоракс Заневский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299095555/;Санкт-Петербург;sale;flat;4;12;1;24.5;6519450;Красногвардейский;Большая Охта;;;ЛСР Большая Охта ЖК
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/276767084/;Санкт-Петербург;sale;flat;10;16;1;22.22;6546242;Московский;Кубинская ;82к1;Ленинский проспект;Cube
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297293470/;Санкт-Петербург;sale;flat;2;13;1;28.9;6514498;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
ID 90959959;homeowner;https://spb.cian.ru/sale/flat/299631743/;Санкт-Петербург;sale;flat;17;25;1;25.3;6500000;Калининский;Лабораторный проспект;20к3;Лесная;Иван-да-Марья
Петербургский Риэлтор;real_estate_agent;https://spb.cian.ru/sale/flat/297212645/;Санкт-Петербург;sale;flat;4;5;-1;23.73;6550000;Курортный; Инструментальщиков;9Б;;
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/273646351/;Санкт-Петербург;sale;flat;12;16;1;20.43;6558638;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
Самолет;developer;https://spb.cian.ru/sale/flat/295660187/;Санкт-Петербург;sale;flat;2;7;1;26.82;6603456;Красносельский;Константиновское;;Проспект Ветеранов;Сандэй
Самолет;developer;https://spb.cian.ru/sale/flat/299405962/;Санкт-Петербург;sale;flat;3;8;1;29.27;6643280;Колпинский;;10;Шушары;Астрид ЖК
;;https://spb.cian.ru/sale/flat/299649659/;Санкт-Петербург;sale;flat;17;18;1;25.9;6690000;Фрунзенский; Салова;61;Бухарестская;Комплекс апартаментов Valo City
ПИК;developer;https://spb.cian.ru/sale/flat/293795736/;Санкт-Петербург;sale;flat;10;14;1;20.0;6712320;Фрунзенский;Волковское;5;Обводный канал;Витебский Парк ЖК
VEREN GROUP;developer;https://spb.cian.ru/sale/flat/298402690/;Санкт-Петербург;sale;flat;4;10;1;28.9;6733909;Приморский;Парашютная ;79к1;Комендантский проспект;Veren Next Шуваловский
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298355601/;Санкт-Петербург;sale;flat;1;12;1;26.34;6700132;Московский;м. Ленинский проспект;;Ленинский проспект;Сенат
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/299394251/;Санкт-Петербург;sale;flat;2;6;1;25.92;6650138;Московский;Новоизмайловское;;;Титул в Московском
