,floor,floors_count,rooms_count,total_meters,price,cian_id,distance_to_subway,distance_to_center,district_rank
3143,8,9,4,77.5,11250000,296055279,0.0012939559217185143,10809.612580783234,15
3144,4,5,4,104.6,11300000,294273069,0.0,11629.584151848148,16
3145,1,10,4,89.2,11500000,298301196,0.00034148299333564523,10746.467048133694,13
3146,1,9,4,76.8,11500000,294863638,0.00466066666342014,12130.377940889844,6
3147,1,6,4,100.1,11500000,299014471,0.0,24702.378637653837,18
3148,1,6,4,96.4,11700000,294226391,0.0,24340.749247087882,18
3149,21,26,4,101.0,11800000,290707694,0.0,14820.628191315078,18
3150,7,9,4,75.0,11900000,299631783,0.0010332825160816715,10123.97343665595,6
3151,1,9,4,86.7,11999000,295118047,0.0016174018567078705,11355.483554161206,8
3152,4,4,4,80.1,11900000,297515654,0.0,23690.16348364464,18
3153,5,9,4,73.2,12000000,285927103,0.0009681174702138276,9227.853073205444,8
3154,4,5,4,72.3,12000000,291272417,0.0,20982.55626242419,7
3155,8,9,4,75.1,12000000,296047258,0.0008774771236486533,12704.697303715164,6
3156,4,9,4,92.2,12100000,297885723,0.0,27704.878207198108,16
3157,1,9,4,89.3,12000000,262478682,0.002796218277224126,8313.53202520983,9
3158,1,9,4,86.1,12000000,261213346,0.0,12222.786526012056,13
3159,6,11,4,67.2,12000000,299224928,0.0007960413534249464,11207.4615467408,7
3160,4,16,4,87.2,12200000,296801700,0.0016549651152381198,8308.976358246187,15
3161,2,9,4,64.6,12200000,294197183,0.003550726548756248,10180.12003448522,15
3162,1,5,4,85.0,12250000,299260164,0.0,24720.644923301254,11
3163,1,5,4,86.2,12300000,293841914,0.001167681550712559,12197.747447828275,17
3164,5,9,4,73.5,12300000,298156231,0.0026741747813739444,8212.45219071651,9
3165,9,9,4,79.8,12300000,298520507,0.0009670422918737295,11636.051783726778,14
3166,2,17,4,92.7,12550000,285169972,0.0,6146.635440363442,10
3167,9,14,4,80.4,12500000,294141753,0.0,26833.169935821592,11
3168,5,5,4,88.5,12500000,298107450,0.0033837490005053034,3086.067944560149,3
3169,4,9,4,64.5,12500000,299419327,0.0015805675632183346,9943.800016848782,15
3170,5,9,4,72.9,12500000,295322663,0.0009069808741208032,11569.717139394843,6
3171,1,9,4,77.9,12500000,297097510,0.0004321030623852075,12883.597289277044,8
3172,1,6,4,115.0,12500000,283352274,0.0004061255824304199,2620.7806461601745,3
3173,2,6,4,95.2,12500000,291595319,0.0020433549713180614,4590.795149429575,3
3174,10,11,4,101.0,12599000,292774807,0.0,18732.25505817231,6
3175,4,9,4,84.0,12750000,299296112,0.00466066666342014,12130.377940889844,6
3176,2,4,4,104.5,12800000,297129340,0.0,30474.42441198112,18
3177,5,5,4,111.5,12830000,279496555,0.003984978840991531,3564.692470079359,2
3178,4,9,4,79.5,12850000,276517062,0.0019011132926866278,8597.868435765287,14
3179,4,6,4,85.2,12990000,280883240,0.0004000010405489056,4116.596439464793,4
3180,4,16,4,87.2,12900000,299098721,0.0016549651152381198,8308.976358246187,15
3181,4,15,4,105.3,12999000,286434269,0.0,12529.396734979488,13
3182,1,9,4,73.1,12900000,299293647,0.0002858215067809975,10185.148496788623,10
3183,4,10,4,89.2,13100000,299029458,0.0,18645.40745642144,6
3184,3,8,4,89.6,13000000,297379335,0.0011511853955416171,11639.835158833352,15
3185,5,9,4,77.8,13000000,297401976,0.0020653930140936056,9817.462644733343,15
3186,3,19,4,93.7,13200000,271800267,0.0006382618660961932,12873.016661490987,10
3187,15,24,4,104.2,13200000,296116065,0.0,11912.471435485664,13
3188,6,18,4,93.0,13300000,283557681,0.0002647990605421706,12840.796249121604,10
3189,5,6,4,102.0,13500000,298878504,0.0015581840899979201,4044.182873523356,2
3190,1,5,4,89.3,13500000,292388539,0.0008961388551356947,8819.02242883619,7
3191,13,18,4,92.5,13500000,294370908,0.0005549698633198734,12840.796249121604,10
3192,5,5,4,98.6,13500000,296757936,0.002195522956306895,4768.13664172392,17
3193,2,9,4,74.5,13500000,299005479,0.001198716092857016,8612.948913781775,14
3194,3,4,4,89.7,13500000,280941970,0.0,20157.30941749222,18
3195,9,10,4,78.3,13500000,298977105,0.0007973494843776755,8798.458476705991,9
3196,3,4,4,91.9,13500000,296593543,0.0,20244.4496972367,18
3197,16,18,4,95.7,13500000,297676350,0.00043544917142434165,12791.052257032316,10
3198,5,9,4,79.6,13650000,299658859,0.0003633781847310111,10140.977255032056,17
3199,3,10,4,87.4,13699000,297472059,0.0009343138620035504,8234.844510271008,14
3200,1,3,4,98.1,13899000,271596382,0.0015355782050797408,3966.586769843053,2
