,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2069,2,19,3,90.23,19265654,Приморский,Коломяжский проспект,13,Пионерская,297025004,Коломяжский проспект 13,30.303107024011773,60.0018695
2070,1,6,3,120.2,19232000,Выборгский,шоссе Суздальское,10,Проспект Просвещения,295461270,шоссе Суздальское 10,30.2913623434797,60.062754
2071,19,25,3,78.61,19540805,Приморский,Богатырский проспект,2А,Пионерская,296406901,Богатырский проспект 2А,30.304165603503527,60.000785050000005
2072,1,8,3,83.8,19444649,Московский,Черниговская ,13к2,Московские ворота,298657942,Черниговская 13к2,30.330460784129077,59.8957585
2073,9,9,3,101.0,19500000,Красногвардейский,Большеохтинский проспект,15К2,Новочеркасская,297574481,Большеохтинский проспект 15К2,30.411995796870272,59.950732599999995
2074,15,15,3,91.0,19419400,Василеостровский,проспект Крузенштерна,2,Горный институт,294545445,проспект Крузенштерна 2,30.20421669916771,59.9307765
2075,1,19,3,107.3,19535200,Московский, Парфеновская,17,Московские ворота,298656981,Парфеновская 17,30.31249306459226,59.8934103
2076,1,7,3,85.84,19408500,Приморский,набережная Реки Каменки,3к3,Озерки,298651692,набережная Реки Каменки 3к3,30.2819109,60.0577206
2077,15,17,3,80.55,19751847,Невский,Октябрьская набережная,11Б,Пролетарская,297359494,Октябрьская набережная 11Б,30.4469472,59.8935011
2078,2,16,3,87.37,19644515,Приморский,Коломяжский проспект,13к3,Пионерская,297024140,Коломяжский проспект 13к3,30.2986208,60.0015533
2079,2,7,3,88.41,19699680,Приморский,набережная Реки Каменки,3к3,Озерки,298651804,набережная Реки Каменки 3к3,30.2819109,60.0577206
2080,3,19,3,86.1,19966590,Невский,Октябрьская набережная,57к3,Елизаровская,294544634,Октябрьская набережная 57к3,30.4469472,59.8935011
2081,2,19,3,87.2,19872880,Невский,Октябрьская набережная,57к3,Елизаровская,294544635,Октябрьская набережная 57к3,30.4469472,59.8935011
2082,7,8,3,82.0,19990000,Адмиралтейский,Подъездной переулок,12,Пушкинская,298333887,Подъездной переулок 12,42.46108159167119,47.12962465
2083,9,18,3,90.8,19976000,Василеостровский,бульвар Головнина,3к1,Горный институт,294573119,бульвар Головнина 3к1,30.20716529397076,59.932884900000005
2084,9,13,3,83.6,19967692,Фрунзенский,Волковское,3,Обводный канал,276514783,Волковское 3,37.748983793671826,55.932123000000004
2085,3,24,3,74.1,19990000,Московский, Среднерогатская,16к5,Звездная,296840978,Среднерогатская 16к5,30.343987446593033,59.8248734
2086,7,14,3,83.54,19945000,Приморский,Студенческая ,14к1,Лесная,298140549,Студенческая 14к1,30.32615328124468,59.9908717
2087,1,3,3,88.4,20096981,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,297863668,Красносельское шоссе 22,30.07358835,59.84900105
2088,9,19,3,83.7,20163330,Невский,Октябрьская набережная,57к3,Елизаровская,294544655,Октябрьская набережная 57к3,30.4469472,59.8935011
2089,3,15,3,95.39,20150374,Невский,Октябрьская набережная,36к3,Проспект Большевиков,298589100,Октябрьская набережная 36к3,30.4469472,59.8935011
2090,1,12,3,93.1,20143141,Московский,Черниговская ,17,Московские ворота,298657692,Черниговская 17,50.307503972209446,53.295697950000005
2091,9,13,3,85.4,20061484,Фрунзенский,Волковское,3,Обводный канал,288388047,Волковское 3,37.748983793671826,55.932123000000004
2092,8,19,3,91.63,20112959,Приморский,Коломяжский проспект,13,Пионерская,297025048,Коломяжский проспект 13,30.303107024011773,60.0018695
2093,15,15,3,96.5,20255350,Василеостровский,проспект Крузенштерна,2,,294545430,проспект Крузенштерна 2,30.20421669916771,59.9307765
2094,2,19,3,106.1,20348124,Московский, Парфеновская,17,Московские ворота,298657088,Парфеновская 17,30.31249306459226,59.8934103
2095,1,4,3,131.4,20370000,Курортный, Тарховская,84Б,Зенит,299315555,Тарховская 84Б,29.9714787,60.0765824
2096,12,17,3,79.33,20251042,Невский,Октябрьская набережная,11Б,Пролетарская,297359446,Октябрьская набережная 11Б,30.4469472,59.8935011
2097,2,24,3,101.6,20221368,Приморский,проспект Королева,65,Комендантский проспект,294844855,проспект Королева 65,30.2437747,60.034649
2098,6,10,3,63.8,20416000,Приморский,Фермское шоссе,12Б,Удельная,297991460,Фермское шоссе 12Б,49.1626717,55.7383149
2099,5,18,3,94.9,20403500,Василеостровский,бульвар Головнина,3к1,Горный институт,294573202,бульвар Головнина 3к1,30.20716529397076,59.932884900000005
2100,2,8,3,83.8,20430051,Московский,Лиговский проспект,287,Московские ворота,298657924,Лиговский проспект 287,30.332359551943217,59.8961806
2101,3,12,3,88.6,20440891,Московский,Черниговская ,17,Московские ворота,298657739,Черниговская 17,50.307503972209446,53.295697950000005
2102,2,12,3,89.9,20415120,Московский,Черниговская ,17,Московские ворота,298657735,Черниговская 17,50.307503972209446,53.295697950000005
2103,15,17,3,86.94,20497882,Невский,Октябрьская набережная,11Б,Пролетарская,297359485,Октябрьская набережная 11Б,30.4469472,59.8935011
2104,2,16,3,87.59,20464131,Приморский,Коломяжский проспект,13к3,Пионерская,297024100,Коломяжский проспект 13к3,30.2986208,60.0015533
2105,2,24,3,103.5,20500070,Приморский,проспект Королева,65,Комендантский проспект,294844854,проспект Королева 65,30.2437747,60.034649
2106,6,19,3,90.52,20579912,Приморский,Коломяжский проспект,13,Пионерская,297025024,Коломяжский проспект 13,30.303107024011773,60.0018695
2107,8,11,3,92.25,20690000,Центральный,Днепропетровская ,5,Лиговский проспект,294879370,Днепропетровская 5,33.440895600000005,47.9742298
2108,8,18,3,96.6,20769000,Василеостровский,бульвар Головнина,3к1,Горный институт,294573098,бульвар Головнина 3к1,30.20716529397076,59.932884900000005
2109,5,18,3,96.3,20704500,Василеостровский,бульвар Головнина,3к1,Горный институт,294573211,бульвар Головнина 3к1,30.20716529397076,59.932884900000005
2110,2,8,3,82.5,20706993,Московский,Лиговский проспект,287,Московские ворота,298657889,Лиговский проспект 287,30.332359551943217,59.8961806
2111,16,17,3,83.32,20723622,Невский,Октябрьская набережная,11Б,Пролетарская,297359508,Октябрьская набережная 11Б,30.4469472,59.8935011
2112,3,5,3,87.1,20650000,Центральный,Невский проспект,51,Маяковская,295694937,Невский проспект 51,37.992323625,55.6536657
2113,3,5,3,75.0,20790000,Центральный,Волоколамский переулок,1,Лиговский проспект,299183851,Волоколамский переулок 1,37.18249074533581,55.85300905
2114,5,13,3,87.53,20833000,Калининский, Академика Константинова,1к1,Академическая,297263179,Академика Константинова 1к1,30.1169694,59.5758075
2115,3,11,3,85.43,20931000,Калининский, Академика Константинова,1к1,Академическая,298534369,Академика Константинова 1к1,30.1169694,59.5758075
2116,6,12,3,83.74,20823626,Приморский,проспект Авиаконструкторов,54,Комендантский проспект,266867977,проспект Авиаконструкторов 54,30.20655429169124,60.033274399999996
2117,2,19,3,96.05,20898237,Приморский,Коломяжский проспект,13,Пионерская,299571701,Коломяжский проспект 13,30.303107024011773,60.0018695
2118,6,12,3,66.0,20800000,Московский, Решетникова,29,Электросила,297797951,Решетникова 29,132.04529569150148,44.73596455
2119,5,18,3,97.6,20984000,Василеостровский,бульвар Головнина,3к1,Горный институт,294573194,бульвар Головнина 3к1,30.20716529397076,59.932884900000005
2120,3,3,3,84.0,20900000,Адмиралтейский,2-я Красноармейская ,13,Технологический институт,297557960,2-я Красноармейская 13,44.93081065264061,54.06805405
2121,2,16,3,103.2,21150169,Приморский,аллея Арцеуловская,15,Комендантский проспект,291984385,аллея Арцеуловская 15,30.2016135196031,60.0403582
2122,9,13,3,75.2,21056000,Калининский, Академика Константинова,1к1,Академическая,294618030,Академика Константинова 1к1,30.1169694,59.5758075
