author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Ленстройтрест,developer,https://spb.cian.ru/sale/flat/298649421/,Санкт-Петербург,sale,flat,5,5,1,31.39,6154740,Колпинский,шоссе Рубежное,14,Рыбацкое,Юттери
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/299184875/,Санкт-Петербург,sale,flat,18,21,-1,27.0,6150000,Московский,Витебский проспект,101к1,Купчино,IN2IT
К-25,developer,https://spb.cian.ru/sale/flat/294911231/,Санкт-Петербург,sale,flat,3,12,-1,25.7,6168000,Приморский,м. Комендантский проспект,,Комендантский проспект,YE'S Primorsky Комплекс Апартаментов
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/294664706/,Санкт-Петербург,sale,flat,6,18,1,25.3,6194000,Московский, Среднерогатская,12к1,,4YOU
РСТИ,developer,https://spb.cian.ru/sale/flat/295858619/,Санкт-Петербург,sale,flat,2,9,1,23.97,6166592,Красносельский, Тамбасова,5,Проспект Ветеранов,Кинопарк
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/298056517/,Санкт-Петербург,sale,flat,2,25,1,24.95,6294793,Приморский,набережная Реки Каменки,15к1,Озерки,Friends
КВС,developer,https://spb.cian.ru/sale/flat/299153252/,Санкт-Петербург,sale,flat,2,4,1,27.85,6285700,Пушкинский,,,Купчино,Дубровский ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/298678473/,Санкт-Петербург,sale,flat,6,18,1,21.3,6228120,Невский,проспект Большевиков,68к1,Ломоносовская,Октябрьская набережная
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/298050451/,Санкт-Петербург,sale,flat,14,17,1,19.71,6218505,Василеостровский,Гавань,12,Горный институт,Морская Набережная ЖК
ЦАН - Центральное Агентство Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/289199838/,Санкт-Петербург,sale,flat,3,3,1,33.9,6200000,Петродворцовый,Красносельское шоссе,22,,Veren Village Стрельна
Самолет,developer,https://spb.cian.ru/sale/flat/295426174/,Санкт-Петербург,sale,flat,3,11,1,22.0,6279633,Невский, Гудиловская,5к1,Рыбацкое,Живи! в Рыбацком
Самолет,developer,https://spb.cian.ru/sale/flat/295114187/,Санкт-Петербург,sale,flat,4,16,1,23.9,6243230,Невский,проспект Советский,43к2,Рыбацкое,Живи! в Рыбацком
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/298589132/,Санкт-Петербург,sale,flat,14,15,1,24.53,6250145,Невский,Октябрьская набережная,36к3,Проспект Большевиков,Pulse Premier
Лидер Групп,developer,https://spb.cian.ru/sale/flat/295883233/,Санкт-Петербург,sale,flat,6,24,-1,27.65,6221250,Московский,Новоизмайловское,,,YE'S Leader
РСТИ,developer,https://spb.cian.ru/sale/flat/295858754/,Санкт-Петербург,sale,flat,4,9,1,23.46,6271633,Красносельский, Тамбасова,5,Проспект Ветеранов,Кинопарк
ID 90122070,realtor,https://spb.cian.ru/sale/flat/299029615/,Санкт-Петербург,sale,flat,8,16,1,21.7,6250000,Московский,м. Ленинский проспект,,Ленинский проспект,Cube
ID 112930098,homeowner,https://spb.cian.ru/sale/flat/298233075/,Санкт-Петербург,sale,flat,16,21,1,27.55,6200000,Приморский,Полевая Сабировская ,45к1,Комендантский проспект,Богатырь 3
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/296780094/,Санкт-Петербург,sale,flat,1,12,1,24.64,6300164,Московский,Новоизмайловское,,,Титул в Московском
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/298769287/,Санкт-Петербург,sale,flat,1,10,1,24.61,6300024,Московский,м. Ленинский проспект,,Ленинский проспект,Сенат
VEREN GROUP,developer,https://spb.cian.ru/sale/flat/298402698/,Санкт-Петербург,sale,flat,8,10,1,25.6,6312145,Приморский,Парашютная ,79к1,Озерки,Veren Next Шуваловский
Лидер Групп,developer,https://spb.cian.ru/sale/flat/299556164/,Санкт-Петербург,sale,flat,5,18,1,27.57,6327315,Невский, Тельмана,37,Ломоносовская,ИСКРА-Сити
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/297359547/,Санкт-Петербург,sale,flat,4,17,1,24.42,6341380,Невский,Октябрьская набережная,11Б,Пролетарская,Лайнеръ
Самолет,developer,https://spb.cian.ru/sale/flat/284754959/,Санкт-Петербург,sale,flat,1,9,1,30.15,6347488,Курортный,,581,Проспект Просвещения,Курортный квартал ЖК
Самолет,developer,https://spb.cian.ru/sale/flat/295426167/,Санкт-Петербург,sale,flat,1,11,1,24.63,6314806,Невский, Гудиловская,5к1,Рыбацкое,Живи! в Рыбацком
Самолет,developer,https://spb.cian.ru/sale/flat/292207756/,Санкт-Петербург,sale,flat,7,16,1,26.81,6340719,Невский, Гудиловская,9,Обухово,Живи! в Рыбацком
Лидер Групп,developer,https://spb.cian.ru/sale/flat/286950370/,Санкт-Петербург,sale,flat,6,24,-1,28.66,6305200,Московский,Новоизмайловское,,,YE'S Leader
СОЮЗ,real_estate_agent,https://spb.cian.ru/sale/flat/295288046/,Санкт-Петербург,sale,flat,3,4,-1,18.5,6319248,Центральный, Константина Заслонова,8Б,Лиговский проспект,
Владис Центральный,real_estate_agent,https://spb.cian.ru/sale/flat/298092711/,Санкт-Петербург,sale,flat,15,19,1,23.4,6350000,Московский, Среднерогатская,14к1,Звездная,4YOU
Самолет,developer,https://spb.cian.ru/sale/flat/298009600/,Санкт-Петербург,sale,flat,3,24,1,21.98,6384597,Невский, Славянская,8,Рыбацкое,Живи! в Рыбацком
Самолет,developer,https://spb.cian.ru/sale/flat/299173189/,Санкт-Петербург,sale,flat,10,23,1,24.58,6374815,Невский,Рыбацкое,4,Рыбацкое,Живи в Рыбацком ЖК
Лидер Групп,developer,https://spb.cian.ru/sale/flat/286950311/,Санкт-Петербург,sale,flat,5,24,-1,29.58,6359700,Московский,Новоизмайловское,,,YE'S Leader
Satanovskiy Group,real_estate_agent,https://spb.cian.ru/sale/flat/299092493/,Санкт-Петербург,sale,flat,7,14,1,24.8,6399999,Приморский,аллея Арцеуловская,17,Комендантский проспект,Чистое небо
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/264975822/,Санкт-Петербург,sale,flat,1,13,1,29.0,6368864,Приморский,Планерная ,87к1,Комендантский проспект,FoRest Аквилон
Самолет,developer,https://spb.cian.ru/sale/flat/295660109/,Санкт-Петербург,sale,flat,2,17,1,27.03,6453778,Красносельский,Константиновское,,Проспект Ветеранов,Сандэй ЖК
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/298056522/,Санкт-Петербург,sale,flat,22,25,1,26.12,6492520,Приморский,набережная Реки Каменки,15к1,Проспект Просвещения,Friends
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/296045834/,Санкт-Петербург,sale,flat,4,14,-1,31.15,6498228,Красногвардейский,Магнитогорская ,51,Новочеркасская,Ladozhsky AVENIR
VEREN GROUP,developer,https://spb.cian.ru/sale/flat/292425333/,Санкт-Петербург,sale,flat,4,10,1,26.9,6450289,Приморский,Парашютная ,79к1,Комендантский проспект,Veren Next Шуваловский
VEREN GROUP,developer,https://spb.cian.ru/sale/flat/292425319/,Санкт-Петербург,sale,flat,2,10,1,27.8,6402541,Приморский,Парашютная ,79к1,Комендантский проспект,Veren Next Шуваловский
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/297904437/,Санкт-Петербург,sale,flat,2,9,1,27.87,6400192,Приморский,Коломяги,,Озерки,Прайм Приморский ЖК
Лидер Групп,developer,https://spb.cian.ru/sale/flat/299555720/,Санкт-Петербург,sale,flat,3,18,1,27.03,6487200,Невский, Тельмана,37,Ломоносовская,ИСКРА-Сити
Лидер Групп,developer,https://spb.cian.ru/sale/flat/297667973/,Санкт-Петербург,sale,flat,16,18,1,23.1,6468000,Василеостровский, Вадима Шефнера,4,Василеостровская,Магеллан (Гавань Капитанов)
GloraX,developer,https://spb.cian.ru/sale/flat/297849161/,Санкт-Петербург,sale,flat,11,15,-1,22.07,6479999,Красногвардейский,переулок Уткин,,,Апарт-отель GloraX Заневский
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/298050440/,Санкт-Петербург,sale,flat,15,15,1,19.02,6409740,Василеостровский,Гавань,12,Горный институт,Морская Набережная ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/294539329/,Санкт-Петербург,sale,flat,12,12,1,20.6,6472520,Красногвардейский,Партизанская ,,,ЛСР. Большая Охта
Самолет,developer,https://spb.cian.ru/sale/flat/296759925/,Санкт-Петербург,sale,flat,2,9,1,34.5,6444466,Курортный,,,Проспект Просвещения,Курортный квартал ЖК
Лидер Групп,developer,https://spb.cian.ru/sale/flat/296306138/,Санкт-Петербург,sale,flat,11,18,1,23.9,6453000,Василеостровский, Вадима Шефнера,4,Василеостровская,Магеллан (Гавань Капитанов)
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/299561115/,Санкт-Петербург,sale,flat,11,16,1,21.63,6449140,Московский,м. Ленинский проспект,,Ленинский проспект,Cube
Лидер Групп,developer,https://spb.cian.ru/sale/flat/298343518/,Санкт-Петербург,sale,flat,8,24,-1,26.37,6434280,Московский,Новоизмайловское,,,YE'S Leader
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/297293999/,Санкт-Петербург,sale,flat,4,13,1,28.4,6413738,Приморский,Юнтолово,,Беговая,Тайм Сквер ЖК
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/274433604/,Санкт-Петербург,sale,flat,12,16,1,21.47,6463275,Московский,Кубинская ,82к1,Ленинский проспект,Cube
Первое Агентство Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/293945331/,Санкт-Петербург,sale,flat,7,25,1,25.0,6400000,Выборгский,проспект Просвещения,43,Проспект Просвещения,Байрон
