,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id
4940,1,9,4,84.0,10600000,Приморский,Серебристый бульвар,34К1,Комендантский проспект,294560963
4941,1,10,4,72.5,10600000,Приморский,проспект Авиаконструкторов,3К2,Комендантский проспект,289460468
4942,4,14,4,74.9,10800000,Выборгский, Композиторов,19,Проспект Просвещения,296635858
4943,5,9,4,73.4,10800000,Калининский, Академика Байкова,9,Политехническая,295731181
4944,4,9,4,73.4,10900000,Приморский, Шаврова,17,Комендантский проспект,298528487
4945,9,12,4,107.1,10900000,Пушкинский,Московское шоссе,246,Шушары,292485378
4946,9,9,4,72.0,10900000,Красногвардейский,проспект Ударников,19К3,Улица Дыбенко,298678583
4947,1,9,4,78.1,11000000,Кировский, Стойкости,7,,299294720
4948,1,5,4,91.1,11050000,Красносельский, Добровольцев,52,Проспект Ветеранов,297589998
4949,1,9,4,77.6,11000000,Кировский, Генерала Симоняка,7,Проспект Ветеранов,297782860
4950,8,9,4,72.8,11000000,Приморский, Маршала Новикова,6К1,Комендантский проспект,298122386
4951,1,9,4,78.1,11000000,Кировский, Стойкости,7,,299159449
4952,5,10,4,74.0,11200000,Приморский, Шаврова,11,Комендантский проспект,297353025
4953,8,9,4,77.5,11250000,Невский, Дыбенко,36К1,Улица Дыбенко,296055279
