author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297359504/;Санкт-Петербург;sale;flat;16;17;2;54.47;14480303;Невский;Октябрьская набережная;11Б;Пролетарская;Лайнеръ
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297293884/;Санкт-Петербург;sale;flat;10;13;2;70.7;14423827;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
;;https://spb.cian.ru/sale/flat/299252982/;Санкт-Петербург;sale;flat;5;9;2;53.6;14525600;Выборгский;Светлановский проспект;45;Политехническая;Дом-бутик Светлановский, 45
ПИК;developer;https://spb.cian.ru/sale/flat/295643034/;Санкт-Петербург;sale;flat;4;14;2;56.0;14488320;Фрунзенский;Волковское;5;Обводный канал;Витебский Парк ЖК
ПИК;developer;https://spb.cian.ru/sale/flat/293227156/;Санкт-Петербург;sale;flat;8;14;2;53.2;14459494;Фрунзенский;Волковское;1;Обводный канал;Аэронавт ЖК
ПИК;developer;https://spb.cian.ru/sale/flat/290849907/;Санкт-Петербург;sale;flat;2;12;2;55.2;14466816;Фрунзенский;Волковское;5;Обводный канал;Витебский Парк ЖК
АМ;developer;https://spb.cian.ru/sale/flat/296920339/;Санкт-Петербург;sale;flat;2;10;2;36.2;14480000;Центральный;Херсонский проезд;6;Площадь Александра Невского;Апартаменты VIDI
КВС;developer;https://spb.cian.ru/sale/flat/294622059/;Санкт-Петербург;sale;flat;3;17;2;57.69;14411749;Калининский;Финляндский;;;Квартал бизнес-класса Б15
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298049970/;Санкт-Петербург;sale;flat;8;16;2;64.89;14665140;Василеостровский;Гавань;;Приморская;Морская Набережная ЖК
ПИК;developer;https://spb.cian.ru/sale/flat/289171928/;Санкт-Петербург;sale;flat;2;13;2;55.6;14636422;Фрунзенский;Волковское;1;Обводный канал;Аэронавт ЖК
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609200/;Санкт-Петербург;sale;flat;2;7;2;63.09;14625000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299403357/;Санкт-Петербург;sale;flat;3;12;2;58.1;14699300;Красногвардейский;Партизанская ;5Б;Ладожская;ЛСР. Большая Охта
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/298863738/;Санкт-Петербург;sale;flat;11;23;2;77.6;14567116;Выборгский;дорога Ольгинская;;Парнас;Прагма city
ПИК;developer;https://spb.cian.ru/sale/flat/294724095/;Санкт-Петербург;sale;flat;5;14;2;51.6;14558940;Фрунзенский;Волковское;1;Обводный канал;Аэронавт ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/296662607/;Санкт-Петербург;sale;flat;17;17;2;56.76;14610024;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298050398/;Санкт-Петербург;sale;flat;15;17;2;64.3;14602530;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
Росстройинвест;developer;https://spb.cian.ru/sale/flat/280432123/;Санкт-Петербург;sale;flat;12;12;2;61.6;14690948;Красногвардейский;Полюстрово;;Академическая;Академик
Росстройинвест;developer;https://spb.cian.ru/sale/flat/299508086/;Санкт-Петербург;sale;flat;9;23;2;53.85;14619127;Калининский;Финляндский;;Выборгская;Беларт ЖК
Унистрой;developer;https://spb.cian.ru/sale/flat/292533791/;Санкт-Петербург;sale;flat;2;5;2;70.8;14690000;Курортный;;;Беговая;Лисино
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297293871/;Санкт-Петербург;sale;flat;9;13;2;74.0;14645665;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
;;https://spb.cian.ru/sale/flat/299252981/;Санкт-Петербург;sale;flat;5;9;2;59.3;14587800;Выборгский;Светлановский проспект;45;Политехническая;Дом-бутик Светлановский, 45
;;https://spb.cian.ru/sale/flat/299252935/;Санкт-Петербург;sale;flat;1;9;2;54.5;14578750;Выборгский;Светлановский проспект;45;Политехническая;Дом-бутик Светлановский, 45
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297292330/;Санкт-Петербург;sale;flat;4;13;2;72.1;14619473;Приморский;Юнтолово;;Беговая;Тайм Сквер
АМ;developer;https://spb.cian.ru/sale/flat/296920319/;Санкт-Петербург;sale;flat;2;10;2;36.5;14600000;Центральный;Херсонский проезд;6;Площадь Александра Невского;Апартаменты VIDI
Терминал-Ресурс;developer;https://spb.cian.ru/sale/flat/296121265/;Санкт-Петербург;sale;flat;4;4;2;81.38;14648400;Пушкинский;;;Купчино;Образцовый квартал 14 ЖК
Ленстройтрест;developer;https://spb.cian.ru/sale/flat/298651791/;Санкт-Петербург;sale;flat;1;7;2;59.65;14662320;Приморский;набережная Реки Каменки;3к3;Озерки;Окла
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/298609297/;Санкт-Петербург;sale;flat;2;7;2;65.81;14741000;Выборгский;Шувалово-Озерки;;;БФА в Озерках
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/296662629/;Санкт-Петербург;sale;flat;15;15;2;58.24;14705600;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
Унистрой;developer;https://spb.cian.ru/sale/flat/292533937/;Санкт-Петербург;sale;flat;2;5;2;71.5;14724000;Курортный;;;Беговая;Лисино
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298355571/;Санкт-Петербург;sale;flat;1;12;2;62.64;14750185;Невский;Невский;;Проспект Большевиков;Пульс Премьер ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/299555944/;Санкт-Петербург;sale;flat;2;18;2;67.18;14779600;Невский; Тельмана;37;Ломоносовская;ИСКРА-Сити
SENATOR;developer;https://spb.cian.ru/sale/flat/293297284/;Санкт-Петербург;sale;flat;2;11;2;61.4;14793368;Невский;Октябрьская набережная;86К2;Пролетарская;Панорама Невы
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297294536/;Санкт-Петербург;sale;flat;3;13;2;68.0;14735023;Приморский;Юнтолово;;Беговая;Тайм Сквер
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/298773326/;Санкт-Петербург;sale;flat;22;25;2;73.0;14700000;Выборгский; Есенина;1к1;Озерки;
ПИК;developer;https://spb.cian.ru/sale/flat/298768040/;Санкт-Петербург;sale;flat;9;11;2;56.7;14745628;Фрунзенский;Волковское;3;Обводный канал;Витебский Парк ЖК
РСТИ;developer;https://spb.cian.ru/sale/flat/295858811/;Санкт-Петербург;sale;flat;2;9;2;64.68;14786725;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
КВС;developer;https://spb.cian.ru/sale/flat/294622080/;Санкт-Петербург;sale;flat;11;17;2;59.87;14784678;Калининский;Финляндский;;;Квартал бизнес-класса Б15
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/297438000/;Санкт-Петербург;sale;flat;2;12;2;54.36;14850146;Московский;м. Ленинский проспект;;Ленинский проспект;Сенат
Ленстройтрест;developer;https://spb.cian.ru/sale/flat/298770166/;Санкт-Петербург;sale;flat;2;8;2;74.93;14928870;Приморский;Коломяги;;Проспект Просвещения;Окла ЖК
GloraX;developer;https://spb.cian.ru/sale/flat/299606337/;Санкт-Петербург;sale;flat;6;18;2;52.34;14929999;Василеостровский;Морской;;;Глоракс Василеостровский ЖК
Группа Аквилон;developer;https://spb.cian.ru/sale/flat/295358725/;Санкт-Петербург;sale;flat;4;12;2;60.78;14845029;Московский;Звёздное;;Звездная;Аквилон Ливз 2 ЖК
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/298863961/;Санкт-Петербург;sale;flat;2;23;2;83.2;14861628;Выборгский;дорога Ольгинская;;Парнас;Прагма city
Строительный трест;developer;https://spb.cian.ru/sale/flat/299482195/;Санкт-Петербург;sale;flat;2;13;2;59.23;14867000;Калининский;Академическое;;Академическая;Наука ЖК
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/298864019/;Санкт-Петербург;sale;flat;21;23;2;66.8;14866893;Выборгский;дорога Ольгинская;;Парнас;Прагма city
Росстройинвест;developer;https://spb.cian.ru/sale/flat/299508182/;Санкт-Петербург;sale;flat;2;22;2;61.49;14934064;Калининский;Финляндский;;Лесная;БелАрт
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294545577/;Санкт-Петербург;sale;flat;2;17;2;67.29;14938380;Василеостровский;Гавань;12;Горный институт;Морская Набережная ЖК
Унистрой;developer;https://spb.cian.ru/sale/flat/292533843/;Санкт-Петербург;sale;flat;1;5;2;72.5;14901000;Курортный;;;Беговая;Лисино
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/295920972/;Санкт-Петербург;sale;flat;18;23;2;55.81;14900432;Невский;Невский;;Проспект Большевиков;Пульс Премьер ЖК
Лидер Групп;developer;https://spb.cian.ru/sale/flat/296306200/;Санкт-Петербург;sale;flat;17;18;2;61.8;14832000;Василеостровский; Вадима Шефнера;4;Василеостровская;Магеллан (Гавань Капитанов)
PLEADA;representative_developer;https://spb.cian.ru/sale/flat/299338092/;Санкт-Петербург;sale;flat;9;10;2;33.1;14910491;Центральный;Херсонский проезд;6;Площадь Александра Невского;Апартаменты VIDI
Лидер Групп;developer;https://spb.cian.ru/sale/flat/294573207/;Санкт-Петербург;sale;flat;5;18;2;70.5;14805000;Василеостровский;бульвар Головнина;3к1;Горный институт;Колумб (Гавань Капитанов)
Лидер Групп;developer;https://spb.cian.ru/sale/flat/294573103/;Санкт-Петербург;sale;flat;11;18;2;61.0;14945000;Василеостровский;бульвар Головнина;3к1;Горный институт;Колумб (Гавань Капитанов)
;;https://spb.cian.ru/sale/flat/299252967/;Санкт-Петербург;sale;flat;4;9;2;61.6;14845600;Выборгский;Светлановский проспект;45;Политехническая;Дом-бутик Светлановский, 45
