floor,floors_count,rooms_count,total_meters,price,distance_to_subway,distance_to_center,district_rank
3,4,1,36.5,6467106,0.0,21616.979981219512,18
1,11,1,37.3,6404238,0.00031623926857754725,15374.23822019453,18
2,4,1,28.53,6409296,0.0,21616.979981219512,18
1,23,1,34.69,6441933,0.0,13776.493199782368,9
1,17,1,32.8,6464880,0.0,14138.511883214756,9
26,27,1,33.7,6400000,0.0011683226038772725,14876.338770040236,6
2,9,1,33.6,6500000,0.0009419411788592148,9373.911183377597,15
3,9,1,33.0,6500000,0.0005045532544442188,5316.73831826531,17
4,4,1,35.0,6535837,0.0,21616.979981219512,18
1,4,1,40.09,6520652,0.0,21616.979981219512,18
23,23,1,37.1,6500000,0.0,6146.635440363442,10
7,9,1,34.42,6590000,0.00044007666014521515,13233.946875692292,17
1,23,1,35.85,6582060,0.0,13776.493199782368,9
2,20,1,28.63,6584900,0.0,11149.610709218312,13
4,23,1,32.92,6560816,0.0,13945.265531297353,9
18,19,1,32.9,6550000,0.0002381508009345773,12280.167457418776,9
6,11,1,38.6,6562000,0.00032693710312849974,15274.675709375642,18
1,4,1,34.9,6600106,0.0,24440.799027700927,18
